goodsId,name,publisher,price,detailUrl,gameOs,cid,pid,systemCid,sceneId,totalFiveStarGenerals,sTactics,seasonStartDays,experiencedSeasons,specialOrangeEquipment,recruitmentCurrent,recruitmentTarget,transferStatus,wantedCount,publishedAgo,detailScrapeStatus,detailError,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
商品ID,商品标题,卖家,价格,商品链接,游戏系统,类目ID,父类目ID,系统类目ID,场景ID,橙色武将数量,S战法数量,赛季开始时间,经历赛季,特技橙装数量,求贤当前值,求贤目标值,转区状态,想要人数,发布时间,详情采集状态,详情采集错误,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
1780646453699602,1956服 PK25042 赛季开始59天,PK25042|1956服 殚诚毕虑,58000,https://www.jiaoyimao.com/jg1009207/1780646453699602.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1240,130,59,29,102,1549,3300,可跨区转服,38,,success,,159,127,58,典藏5红,动态5红,0红,典藏5红,典藏5红,典藏1红,5红,典藏5红,动态5红,动态5红,典藏动态5红,典藏5红,动态5红,5红,典藏5红,5红,典藏5红,典藏5红,5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏4红,典藏5红,典藏5红,5红,5红,典藏5红,典藏5红,4红,典藏5红
1780545264493955,4570服 PK25143 赛季开始24天,PK25143|4570服 回春妙手,76666,https://www.jiaoyimao.com/jg1009207/1780545264493955.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1155,126,24,27,89,2138,3300,可跨区转服,29,,success,,142,110,59,典藏5红,典藏4红,2红,典藏5红,典藏5红,典藏5红,5红,典藏5红,动态5红,4红,典藏5红,典藏5红,动态5红,3红,典藏5红,5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,0红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,5红,典藏5红,典藏5红,3红,典藏5红
1779647942391006,4270服 PK25126 赛季开始24天,PK25126|4270服 来鸿去燕,48888,https://www.jiaoyimao.com/jg1009207/1779647942391006.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1024,130,24,26,60,503,3300,可跨区转服,18,,success,,158,116,57,典藏3红,典藏1红,典藏0红,动态5红,动态5红,典藏2红,5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,0,典藏5红,0红,典藏5红,典藏5红,2红,动态5红,动态5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,动态5红,动态5红,动态5红,典藏5红,典藏5红,典藏5红,4红,5红,典藏5红,典藏1红,典藏5红,4红,动态5红,0,典藏5红,典藏5红,2红,典藏5红
1779874922196405,4109服 PK25066 赛季开始52天,PK25066|4109服 枕流漱石,180,https://www.jiaoyimao.com/jg1009207/1779874922196405.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,261,64,52,14,10,595,2100,可跨区转服,,,success,,86,70,21,0,0,0,0,0,0,0红,0红,0,0红,0红,0,0红,0红,1红,1红,0,0,0,0红,典藏0红,0,0,0红,0,0,1红,0红,0,0,0红,0,0红,典藏2红,0,0红,典藏3红,0红,0,0,0,2红,0,2红
1779967968836490,1522服 PK25037 赛季开始59天,PK25037|1522服 势成水火,3888,https://www.jiaoyimao.com/jg1009207/1779967968836490.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,596,113,59,24,50,956,2700,103天后可跨区转服,5,,success,,162,100,40,0,典藏0红,0,0,典藏0红,1红,0红,典藏5红,动态1红,动态1红,0,典藏1红,0红,0,典藏4红,2红,1红,典藏1红,典藏2红,2红,2红,典藏1红,典藏5红,典藏2红,3红,1红,0,典藏0红,0红,0红,典藏3红,3红,5红,0,典藏2红,0,0红,动态5红,动态5红,动态5红,0红,3红,1红,典藏2红
1779941069600029,5469服 PK25119 赛季开始31天,PK25119|5469服 洪炉点雪,500,https://www.jiaoyimao.com/jg1009207/1779941069600029.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,309,60,31,7,13,1226,2100,可跨区转服,3,,success,,130,103,31,0,0红,0,1红,0红,1红,1红,0,0红,1红,0红,0红,0,0红,0红,0,0红,1红,0,0红,0红,0,0,典藏0红,0红,0,1红,0红,0红,0,0红,典藏1红,2红,0,动态1红,0红,动态1红,0,0,0,0红,典藏0红,0红,1红
1779898652545220,4559服 PK21293 赛季开始24天,PK21293|4559服 月地云阶,888,https://www.jiaoyimao.com/jg1009207/1779898652545220.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,178,55,24,11,17,1679,2100,可跨区转服,6,,success,,43,36,21,0,0,0,0红,0,0,0红,动态3红,0,动态5红,典藏1红,1红,0红,0红,0,0,0,0,0,0,0,典藏0红,典藏1红,0红,0,0红,0,典藏0红,0,0,0,0红,0红,0,典藏0红,0,1红,0红,0红,0红,0,0红,0,0
1779952326015505,安徽8服 PK25214 赛季开始3天,PK25214|安徽8服 醉翁亭,3288,https://www.jiaoyimao.com/jg1009207/1779952326015505.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,635,111,3,28,90,537,3000,可跨区转服,13,,success,,141,103,44,0,0红,0,2红,0,典藏1红,1红,0,0红,1红,4红,典藏0红,2红,0红,典藏2红,2红,1红,3红,典藏0红,1红,0红,0,0,0红,5红,动态5红,动态5红,典藏5红,0红,典藏3红,1红,典藏动态5红,典藏5红,典藏0红,典藏5红,典藏4红,典藏3红,动态5红,动态4红,3红,0红,典藏5红,0红,典藏5红
1780011291378001,5900服 PK21284 赛季开始59天,PK21284|5900服 皓齿明眸,288,https://www.jiaoyimao.com/jg1009207/1780011291378001.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,130,45,59,3,8,1361,1800,可跨区转服,,,success,,69,42,10,0,0,0红,1红,0,0,0红,0,0,0,0,0红,0,0,0,0,0,0,0,0,0,0,0红,0红,0,0,0,0,0,0,0,0,4红,0,0,0红,0,0,0,0,0,0红,0红,0
