goodsId,name,publisher,price,detailUrl,gameOs,cid,pid,systemCid,sceneId,totalFiveStarGenerals,sTactics,seasonStartDays,experiencedSeasons,specialOrangeEquipment,recruitmentCurrent,recruitmentTarget,transferStatus,wantedCount,publishedAgo,detailScrapeStatus,detailError,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
商品ID,商品标题,卖家,价格,商品链接,游戏系统,类目ID,父类目ID,系统类目ID,场景ID,橙色武将数量,S战法数量,赛季开始时间,经历赛季,特技橙装数量,求贤当前值,求贤目标值,转区状态,想要人数,发布时间,详情采集状态,详情采集错误,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
1780646453699602,1956服 PK25042 赛季开始59天,PK25042|1956服 殚诚毕虑,58000,https://www.jiaoyimao.com/jg1009207/1780646453699602.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1240,130,59,29,102,1549,3300,可跨区转服,38,,success,,159,127,58,典藏5红,动态5红,0红,典藏5红,典藏5红,典藏1红,5红,典藏5红,动态5红,动态5红,典藏动态5红,典藏5红,动态5红,5红,典藏5红,5红,典藏5红,典藏5红,5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏4红,典藏5红,典藏5红,5红,5红,典藏5红,典藏5红,4红,典藏5红
1780545264493955,4570服 PK25143 赛季开始24天,PK25143|4570服 回春妙手,76666,https://www.jiaoyimao.com/jg1009207/1780545264493955.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1155,126,24,27,89,2138,3300,可跨区转服,29,,success,,142,110,59,典藏5红,典藏4红,2红,典藏5红,典藏5红,典藏5红,5红,典藏5红,动态5红,4红,典藏5红,典藏5红,动态5红,3红,典藏5红,5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,0红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,5红,典藏5红,典藏5红,3红,典藏5红
1780848861839522,2255服 PK25157 赛季开始17天,PK25157|2255服 精彩绝伦,53000,https://www.jiaoyimao.com/jg1009207/1780848861839522.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1557,128,17,28,88,1901,3300,54天后可跨区转服,6,,success,,222,174,63,0红,典藏1红,典藏1红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,动态3红,典藏5红,典藏5红,动态5红,5红,典藏5红,5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,动态5红,动态5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,典藏5红,典藏动态5红,典藏5红,典藏5红,典藏5红,典藏1红,动态5红,动态5红,动态4红,5红,典藏5红,典藏5红,动态5红,典藏5红
1780622131588691,725服 PK25010 赛季开始59天,PK25010|725服 万马奔腾,16400,https://www.jiaoyimao.com/jg1009207/1780622131588691.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,1050,121,59,27,101,2581,3000,15天后可跨区转服,,,success,,266,159,59,0,0,0,典藏3红,动态1红,0红,4红,典藏4红,典藏5红,动态1红,典藏5红,典藏5红,动态3红,0红,典藏4红,4红,典藏5红,5红,典藏4红,动态2红,典藏5红,典藏2红,典藏5红,典藏5红,2红,典藏5红,动态5红,典藏5红,1红,典藏2红,典藏5红,动态5红,典藏5红,典藏0红,典藏2红,典藏1红,典藏4红,动态5红,动态5红,3红,0红,典藏5红,5红,典藏5红
1779013152463535,5551服 PK25104 赛季开始37天,PK25104|5551服 秉德清贞,400,https://www.jiaoyimao.com/jg1009207/1779013152463535.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,160,47,37,6,21,187,2100,可跨区转服,9,,success,,65,42,17,0,0红,0,0,0,0,0,0,0,4红,0,0,0,1红,0,0红,典藏1红,1红,0,0红,0,0,0红,0,0,0,0,0红,0,0,0红,2红,典藏0红,0,0红,0,0,动态2红,1红,0红,0,0,0,0红
1779001210309251,5046服 PK19283 赛季开始45天,PK19283|5046服 鼎鼎有名,600,https://www.jiaoyimao.com/jg1009207/1779001210309251.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,259,38,45,9,21,1981,2100,可跨区转服,1,,success,,64,57,26,0,0,0,0,0红,典藏0红,1红,典藏0红,0,0红,典藏0红,0,0,0,0红,0红,0红,1红,0红,0,0红,0红,2红,3红,0红,0,0,0,0,动态2红,典藏3红,典藏1红,4红,0,2红,1红,0红,典藏3红,1红,0红,0,0,0,0
1779006448085283,五周年19服 PK25115 赛季开始31天,PK25115|五周年19服 大汉天下,1000,https://www.jiaoyimao.com/jg1009207/1779006448085283.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,324,90,31,10,37,384,2400,131天后可跨区转服,4,,success,,115,85,35,0,典藏0红,0红,0红,0红,典藏1红,0红,1红,0,0红,0,0,0红,1红,0,0,0红,1红,0,0,3红,0红,0,3红,1红,2红,3红,典藏0红,0红,0红,0红,0红,2红,0红,2红,0红,1红,2红,2红,0红,0,0红,0,0
1779033522705413,5413服 PK25117 赛季开始31天,PK25117|5413服 握瑜怀玉,500,https://www.jiaoyimao.com/jg1009207/1779033522705413.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,234,60,31,8,11,255,2100,141天后可跨区转服,,,success,,121,90,21,0,0红,0,0,0,0红,0红,0,0,0红,0,1红,0,0红,1红,1红,0,0,0,0,0,0,0,0,0红,0红,0红,0,0,0红,0,0,2红,0,0红,1红,0红,1红,0红,0红,0,0红,0红,0
1780672450137838,4288服 PK25145 赛季开始24天,PK25145|4288服 利时及物,688,https://www.jiaoyimao.com/jg1009207/1780672450137838.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,411,74,24,17,44,1372,2400,可跨区转服,,,success,,170,108,35,0,0,0,0,0红,0,0红,0,0,0,0红,0红,0红,0红,1红,0,0红,0红,0红,0,0红,0,0红,1红,3红,动态0红,动态2红,动态1红,0红,动态3红,0,0红,0红,0,动态0红,0红,典藏4红,动态5红,动态3红,动态3红,0,2红,2红,典藏0红
