goodsId,name,price,productType,transferService,publisher,serverName,pkServer,detailUrl,status,listedAt,firstSeenAt,lastSeenAt,gold,totalFiveStarGenerals,sTactics,specialOrangeEquipment,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪,missingRequiredTactics,missingCoreEquipmentSkills,detailError
商品ID,商品标题,价格,商品类型,账号转移,客户端,服务器,PK服务器,商品链接,当前状态,商品上架时间,首次记录时间,最后记录时间,金珠,橙色武将数量,S战法数量,橙装数量,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪,缺失关键战法,缺失核心装备特技,detailError
1781529345884476,三幻神拉满，满将非典废,33000,成品号,是,OPPO,4387服 巧言令色/PK25127,PK25127,https://www.jiaoyimao.com/jg1009207/1781529345884476.html?isGray=true,在售,2026-06-15 21:26:27,2026-06-18 11:09:44,2026-06-18 11:35:37,399,65,116,163,185,144,62,典藏0红,典藏1红,0,5红,5红,典藏3红,5红,典藏5红,5红,5红,典藏5红,典藏4红,5红,5红,典藏5红,0红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,5红,典藏5红,5红,典藏5红,5红,典藏5红,典藏5红,0,典藏5红,典藏5红,典藏5红,5红,5红,5红,典藏3红,典藏5红,5红,典藏5红,"深藏若虚,雁行阵,守望相助","御策,治军,破势","page.goto: Target page, context or browser has been closed"
1781652460654090,卡池巨厚的全网最低大满贯,78888,成品号,是,九游,1155服 一举两得/PK25004,PK25004,https://www.jiaoyimao.com/jg1009207/1781652460654090.html?isGray=true,在售,2026-06-17 07:36:59,2026-06-18 11:09:44,2026-06-18 11:35:37,6595,152,127,236,295,227,83,典藏5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,5红,5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,5红,1红,典藏5红,5红,典藏5红,守望相助,回元,CAPTCHA_NOT_SOLVED_IN_TIME
1781579116608456,可求sp马超双月有回溯2w珠,1169,成品号,是,九游,3660服 亭台楼阁/PK25089,PK25089,https://www.jiaoyimao.com/jg1009207/1781579116608456.html?isGray=true,在售,2026-06-17 20:07:11,2026-06-18 11:09:44,2026-06-18 11:35:37,17305,38,79,121,76,68,23,0,0,0,0,0,0,0,典藏2红,3红,2红,典藏4红,0红,0,0,2红,0,0,0,1红,0,典藏5红,2红,5红,4红,0,0,0,0,0,0红,典藏4红,典藏5红,典藏5红,0,0红,0红,1红,0红,0,0红,0,典藏3红,0,0红,"桃园结义,深藏若虚,雁行阵,先登死士,勠力同心,刚柔并济,以寡敌众,鱼鳞阵,藏器待时,鉴时审势,婴城自守,众志成城,功不唐捐,守望相助","御策,治军,回元,破势,奇算","page.goto: Target page, context or browser has been closed"
1781694156614727,送送送送送送送送送送送送送送送,1088,成品号,是,OPPO,176服 横戈跃马/PK25011,PK25011,https://www.jiaoyimao.com/jg1009207/1781694156614727.html?isGray=true,在售,2026-06-17 19:11:40,2026-06-18 11:09:44,2026-06-18 11:35:37,1645,51,106,146,73,68,40,0,典藏1红,典藏0红,0,0,0,1红,典藏1红,1红,1红,典藏1红,典藏2红,0红,0红,典藏1红,0红,0,典藏0红,典藏0红,0,0,典藏4红,典藏5红,3红,0,典藏5红,3红,3红,1红,典藏3红,1红,典藏5红,3红,0,0红,典藏0红,4红,5红,3红,2红,典藏2红,典藏5红,0红,典藏2红,"桃园结义,深藏若虚,雁行阵,刚柔并济,以寡敌众,藏器待时,鉴时审势","御策,治军,回元,破势,奇算","page.goto: Target page, context or browser has been closed"
1780667132746388,北伐枪法官盾,1318,成品号,是,九游,2845服 万籁俱寂/PK25155,PK25155,https://www.jiaoyimao.com/jg1009207/1780667132746388.html?isGray=true,在售,2026-06-18 11:04:47,2026-06-18 11:09:44,2026-06-18 11:35:37,120,21,81,67,44,44,24,0,0,0,典藏3红,典藏3红,典藏0红,0红,1红,1红,1红,0红,典藏2红,0,0,0,0,0,0,0,0红,0,典藏1红,典藏4红,典藏4红,1红,0,0,0,2红,典藏2红,0,典藏0红,0红,0,0红,1红,0红,0,0红,0,0,0,0,1红,"桃园结义,深藏若虚,雁行阵,勠力同心,刚柔并济,临危救主,鱼鳞阵,蓄势待发,藏器待时,鉴时审势,灵机一动,婴城自守,功不唐捐,万军夺帅,守望相助","御策,治军,回元,破势,奇算","page.goto: Target page, context or browser has been closed"
1781058265305748,5000区满三幻，韬晦，卡池厚,31888,成品号,是,九游,5036服 棋布错峙/PK25144,PK25144,https://www.jiaoyimao.com/jg1009207/1781058265305748.html?isGray=true,在售,2026-06-17 10:11:46,2026-06-18 11:09:44,2026-06-18 11:35:37,2422,113,118,213,212,152,55,0,0,0,典藏5红,5红,0,5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,5红,0红,典藏5红,0红,典藏5红,典藏4红,典藏5红,5红,典藏5红,典藏5红,典藏5红,1红,0红,典藏5红,5红,典藏5红,5红,典藏4红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,5红,0红,典藏5红,0红,5红,典藏5红,"桃园结义,深藏若虚,鉴时审势,守望相助","御策,治军,回元,破势","page.goto: Target page, context or browser has been closed"
1781695462674343,满红三幻神，典藏4红sp曹操,21888,成品号,是,OPPO,5491服 占星卜卦/PK25120,PK25120,https://www.jiaoyimao.com/jg1009207/1781695462674343.html?isGray=true,在售,2026-06-18 10:36:03,2026-06-18 11:09:44,2026-06-18 11:35:37,3437,48,118,129,86,69,38,典藏4红,0红,0,典藏5红,典藏5红,典藏4红,0,典藏5红,典藏4红,0红,4红,典藏5红,0红,5红,典藏5红,0红,0,典藏5红,典藏4红,0红,典藏0红,5红,典藏3红,0红,0,4红,0,4红,2红,典藏4红,0,0红,典藏0红,0,典藏4红,典藏0红,典藏5红,5红,1红,0,0,0,2红,典藏5红,,"治军,回元,破势","page.goto: Target page, context or browser has been closed"
1779067773148207,满红太尉，11张残卷，秒了吧,1888,成品号,是,九游,205服 无当飞军/PK25040,PK25040,https://www.jiaoyimao.com/jg1009207/1779067773148207.html?isGray=true,在售,2026-06-17 20:35:12,2026-06-18 11:09:44,2026-06-18 11:35:37,15112,62,104,119,152,111,39,典藏0红,0,0红,0红,典藏0红,0,1红,0红,0红,2红,典藏1红,0红,0,0,典藏2红,0,2红,典藏2红,0,0,0,0,2红,典藏4红,0红,2红,5红,2红,0,1红,典藏5红,5红,4红,0,典藏5红,4红,典藏5红,0红,1红,2红,典藏2红,5红,0,2红,"桃园结义,雁行阵,先登死士,勠力同心,刚柔并济,临危救主,藏器待时,鉴时审势,灵机一动,功不唐捐","御策,治军,回元,破势,奇算","page.goto: Target page, context or browser has been closed"
1781748882806273,打架嘎嘎猛,1699,成品号,是,九游,4574服 甘苦与共/PK21292,PK21292,https://www.jiaoyimao.com/jg1009207/1781748882806273.html?isGray=true,在售,2026-06-18 10:38:22,2026-06-18 11:09:44,2026-06-18 11:35:37,1649,29,80,104,67,53,24,0,0,0,典藏0红,0,0,0红,典藏5红,0红,1红,0红,0,1红,0,0,0,0,0红,0,0红,0,0,1红,0红,0红,典藏2红,0红,0,0,0,典藏2红,0红,典藏5红,0,2红,0红,1红,0,1红,0,0,0红,0红,0红,"桃园结义,深藏若虚,雁行阵,刚柔并济,以寡敌众,鱼鳞阵,藏器待时,鉴时审势,灵机一动,上兵伐谋,婴城自守","御策,治军,回元,武圣,破势,奇算","page.goto: Target page, context or browser has been closed"
